,station,E,N,Z
AC07,AC07,131.692682051,190.2156202,187.857498156
ACH1,ACH1,522.268804143,494.232548254,170.69892298
ACH2,ACH2,386.435613655,205.229011327,187.044273808
ACUE,ACUE,180.147285786,161.660319299,157.92468978
AGYE,AGYE,66.5435008517,201.955420854,186.755930728
AMIL,AMIL,141.705019091,363.324412645,271.5149633
APLA,APLA,199.068631352,208.844843189,238.686972415
ARNL,ARNL,236.392001341,290.699095166,217.360533741
COHC,COHC,181.056845873,206.806695609,213.364703936
GYC2,GYC2,236.151146612,292.15235448,201.581994512
GYE1,GYE1,151.356375207,360.203677739,692.824069667
GYKA,GYKA,228.913951159,796.804481599,207.145101348
GYPL,GYPL,180.213234022,164.961621242,173.451197437
ISPG,ISPG,439.339030586,228.278222061,210.016672393
SALI,SALI,215.837150368,171.629248381,170.432036009
