station,E,N,Z
AC07,224.495660916,218.618542056,284.713320497
ACH1,346.71589624,259.141235423,274.46944953
ACH2,328.187762659,324.482053774,324.719800405
ACUE,277.83121089,319.23738389,320.926020884
AGYE,114.660830103,277.445070035,244.886332466
AMIL,215.224758126,258.282452962,213.458439919
APLA,228.185018528,279.093149134,252.945926281
ARNL,273.36441099,330.801714543,271.415558451
COHC,293.843203358,307.443635402,330.503804876
GYC2,220.648815286,326.005253988,330.229486706
GYE1,411.524709815,242.111447955,284.208807864
GYKA,289.607792211,226.364634218,241.734942489
GYPL,274.301321489,241.610432393,275.104227132
ISPG,219.000384756,215.523222751,217.095620225
SALI,231.112437282,235.664806277,221.695323963
