station,E,N,Z
AC07,358.216086218,363.360788248,346.551562778
ACH1,448.882597201,428.772239957,535.362192937
ACH2,391.473483324,365.922014563,444.195928829
ACUE,471.245295077,504.914798755,450.042322171
AGYE,194.969224049,349.291137274,384.632331968
AMIL,384.987305386,358.470019088,358.924302066
APLA,357.839640818,340.786584564,343.549848705
ARNL,447.522345734,474.157844139,443.280718738
COHC,382.900410629,355.970719553,446.893796918
GYC2,396.777031815,395.213437347,479.868290447
GYE1,407.205465789,407.70778645,365.24263464
GYKA,400.891222552,508.934872409,410.542515513
GYPL,346.030697027,372.609813297,389.971992381
ISPG,374.625910289,377.791624694,369.536259368
SALI,452.867434526,440.083061795,451.961201963
