sta,net,dist,azi,type,value
PCRA,EC,0.63839,125,MLc,6.77
ARNL,EC,0.70246,183,ML,6.76
ARNL,EC,0.70246,183,MLc,6.87
ARNL,EC,0.70246,183,MLv,6.66
MILO,EC,0.81294,36,ML,6.80
MILO,EC,0.81294,36,MLc,6.90
MILO,EC,0.81294,36,MLv,6.54
MILO,EC,0.81294,36,Mjma,7.20
COHC,EC,0.85910,64,MLv,6.98
COHC,EC,0.85910,64,Mjma,6.94
SUSE,EC,0.97372,125,ML,6.88
SUSE,EC,0.97372,125,MLc,7.00
SUSE,EC,0.97372,125,MLv,6.74
SUSE,EC,0.97372,125,Mjma,7.07
SALI,EC,1.16643,304,Mjma,7.12
LAMO,EC,1.16766,180,MLc,6.65
LAMO,EC,1.16766,180,Mjma,7.26
MCRA,EC,1.52511,177,MLc,6.65
MCRA,EC,1.52511,177,MLv,6.83
MCRA,EC,1.52511,177,Mjma,7.24
BOSC,EC,1.56142,101,ML,6.77
BOSC,EC,1.56142,101,MLc,6.89
BOSC,EC,1.56142,101,MLv,6.55
BOSC,EC,1.56142,101,Mjma,7.50
CHSH,EC,1.78079,41,ML,7.28
CHSH,EC,1.78079,41,MLv,6.62
CHSH,EC,1.78079,41,Mjma,7.13
TAMH,EC,1.79191,44,ML,7.23
TAMH,EC,1.79191,44,MLv,6.83
TAMH,EC,1.79191,44,Mjma,7.25
SAGA,EC,1.83670,64,ML,7.13
SAGA,EC,1.83670,64,MLc,7.12
SAGA,EC,1.83670,64,MLv,6.71
SAGA,EC,1.83670,64,Mjma,7.38
PORT,EC,1.86731,42,ML,6.77
PORT,EC,1.86731,42,MLc,6.78
PORT,EC,1.86731,42,MLv,6.68
PORT,EC,1.86731,42,Mjma,7.13
SAG1,EC,2.03476,71,ML,7.19
SAG1,EC,2.03476,71,MLv,6.86
SAG1,EC,2.03476,71,Mjma,7.52
BBIL,EC,2.07869,48,ML,6.98
BBIL,EC,2.07869,48,MLc,6.94
BBIL,EC,2.07869,48,MLv,6.53
BBIL,EC,2.07869,48,Ms(BB),6.65
BPAT,EC,2.07885,50,ML,7.08
BPAT,EC,2.07885,50,MLc,6.99
BPAT,EC,2.07885,50,MLv,6.47
BPAT,EC,2.07885,50,Mjma,6.98
BPAT,EC,2.07885,50,Ms(BB),6.64
BRTU,EC,2.11115,49,MLv,6.96
BRTU,EC,2.11115,49,Mjma,7.45
BRTU,EC,2.11115,49,Ms(BB),7.00
ZUMB,EC,2.20195,156,ML,7.09
ZUMB,EC,2.20195,156,MLc,7.05
ZUMB,EC,2.20195,156,MLv,6.58
ZUMB,EC,2.20195,156,Mjma,7.22
ZUMB,EC,2.20195,156,Ms(BB),6.80
PUYO,EC,2.41670,56,ML,6.96
PUYO,EC,2.41670,56,MLc,6.78
PUYO,EC,2.41670,56,MLv,6.81
PIS1,EC,2.42753,43,ML,7.19
PIS1,EC,2.42753,43,MLc,7.01
