sta,net,dist,azi,phase,time
APLA,EC,0.42,300,P,17:13:06.34
APLA,EC,0.42,300,S,17:13:16.45
ACH1,EC,0.46,165,P,17:13:05.05
ACH1,EC,0.46,165,S,17:13:15.43
ACH2,EC,0.47,152,P,17:13:04.88
ACH2,EC,0.47,152,S,17:13:14.44
GYKA,EC,0.61,15,P,17:13:06.22
GYKA,EC,0.61,15,S,17:13:16.99
GYE1,EC,0.61,11,P,17:13:05.36
GYE1,EC,0.61,11,S,17:13:15.19
GYC2,EC,0.63,10,P,17:13:06.60
GYC2,EC,0.63,10,S,17:13:17.35
PCRA,EC,0.64,125,P,17:13:07.53
PCRA,EC,0.64,125,S,17:13:17.75
AC07,EC,0.70,4,P,17:13:07.18
AC07,EC,0.70,4,S,17:13:18.45
ARNL,EC,0.70,183,P,17:13:08.81
ARNL,EC,0.70,183,S,17:13:20.13
GYE3,EC,0.70,11,P,17:13:05.83
GYPL,EC,0.73,5,P,17:13:07.20
GYPL,EC,0.73,5,S,17:13:18.06
AGYE,EC,0.80,6,P,17:13:07.77
AGYE,EC,0.80,6,P,17:13:18.95
MILO,EC,0.81,36,P,17:13:07.73
COHC,EC,0.86,64,P,17:13:08.11
COHC,EC,0.86,64,S,17:13:19.49
SUSE,EC,0.97,125,P,17:13:11.27
SUSE,EC,0.97,125,S,17:13:24.17
ACUE,EC,1.07,93,P,17:13:11.50
ACUE,EC,1.07,93,S,17:13:26.14
SALI,EC,1.17,304,P,17:13:15.00
SALI,EC,1.17,304,S,17:13:29.39
LAMO,EC,1.17,180,P,17:13:15.01
ALJ1,EC,1.41,144,P,17:13:16.92
ALJ1,EC,1.41,144,S,17:13:34.27
AMCR,EC,1.53,177,P,17:13:19.65
MCRA,EC,1.53,177,P,17:13:18.85
MCRA,EC,1.53,177,S,17:13:36.41
AMCA,EC,1.54,177,P,17:13:18.96
JSCH,EC,1.54,43,P,17:13:16.44
BOSC,EC,1.56,101,P,17:13:19.31
CHSH,EC,1.78,41,P,17:13:20.42
CHSH,EC,1.78,41,S,17:13:42.18
TAMH,EC,1.79,44,P,17:13:21.07
APO2,EC,1.83,347,P,17:13:22.27
APO2,EC,1.83,347,S,17:13:44.55
SAGA,EC,1.84,64,P,17:13:22.36
SAGA,EC,1.84,64,S,17:13:43.40
PORT,EC,1.87,42,P,17:13:22.25
AMIL,EC,2.03,340,P,17:13:09.66
AMIL,EC,2.03,340,S,17:13:21.31
AMNT,EC,2.03,340,P,17:13:24.87
AMNT,EC,2.03,340,S,17:13:50.18
SAG1,EC,2.03,71,P,17:13:25.32
SAG1,EC,2.03,71,S,17:13:49.93
ARA2,EC,2.06,50,P,17:13:24.89
BBIL,EC,2.08,48,P,17:13:25.45
BPAT,EC,2.08,50,P,17:13:25.45
PECV,EC,2.10,350,P,17:13:25.92
PECV,EC,2.10,350,S,17:13:51.62
BRTU,EC,2.11,49,P,17:13:26.03
BRTU,EC,2.11,49,S,17:13:50.88
JUI6,EC,2.11,48,P,17:13:26.47
ACHN,EC,2.15,359,P,17:13:26.05
