NET.STATION.LOCID.CMPNM MaxAcc TimeOfMaxAcc DIST AZ BAZ PeakVecACC EstimatedDuration.
EC.ISPG..HHZ 23.7616 17:13:15.650 30.2429 231.737 51.7482 32.7978 155.99
EC.ISPG..HHN 22.4912 17:13:17.160 30.2429 231.737 51.7482 32.7978 155.99
EC.ISPG..HHE 22.3912 17:13:12.930 30.2429 231.737 51.7482 32.7978 155.99
EC.ISPG..HNZ 176.042 17:13:08.599 30.2429 231.737 51.7482 335.072 156.36
EC.ISPG..HNN 250.971 17:13:19.679 30.2429 231.737 51.7482 335.072 156.36
EC.ISPG..HNE 248.806 17:13:20.039 30.2429 231.737 51.7482 335.072 156.36
EC.APLA..HNZ 29.0749 17:13:08.634 51.7841 290.361 110.381 163.855 81.13
EC.APLA..HNN 162.945 17:13:19.114 51.7841 290.361 110.381 163.855 81.13
EC.APLA..HNE 98.1896 17:13:20.064 51.7841 290.361 110.381 163.855 81.13
EC.ACH2..HNZ 51.9874 17:13:15.920 53.8449 162.482 342.474 154.343 78.49
EC.ACH2..HNN 148.501 17:13:16.070 53.8449 162.482 342.474 154.343 78.49
EC.ACH2..HNE 89.134 17:13:16.960 53.8449 162.482 342.474 154.343 78.49
EC.ACH1..HNZ 41.9616 17:13:15.713 54.2161 174.629 354.626 328.237 127.76
EC.ACH1..HNN 317.521 17:13:16.783 54.2161 174.629 354.626 328.237 127.76
EC.ACH1..HNE 185.383 17:13:16.573 54.2161 174.629 354.626 328.237 127.76
EC.GYKA..HNZ 59.39 17:13:10.666 60.3316 8.50933 188.506 200.216 205.37
EC.GYKA..HNN 194.473 17:13:19.566 60.3316 8.50933 188.506 200.216 205.37
EC.GYKA..HNE 155.723 17:13:24.306 60.3316 8.50933 188.506 200.216 205.37
EC.GYE1..HNZ 33.7832 17:13:18.299 60.8623 4.8248 184.823 61.1073 141.13
EC.GYE1..HNN 55.943 17:13:17.529 60.8623 4.8248 184.823 61.1073 141.13
EC.GYE1..HNE 53.6039 17:13:30.489 60.8623 4.8248 184.823 61.1073 141.13
EC.GYC2..HNZ 152.801 17:13:08.947 63.8692 3.97011 183.968 171.619 222.74
EC.GYC2..HNN 150.753 17:13:19.657 63.8692 3.97011 183.968 171.619 222.74
EC.GYC2..HNE 106.954 17:13:18.057 63.8692 3.97011 183.968 171.619 222.74
EC.PCRA..HHZ 38.3241 17:13:20.764 67.8352 132.341 312.317 59.8961 87.12
EC.PCRA..HHN 57.5546 17:13:21.624 67.8352 132.341 312.317 59.8961 87.12
EC.PCRA..HHE 52.9539 17:13:20.884 67.8352 132.341 312.317 59.8961 87.12
EC.GYE3..HNZ 41.3746 17:13:19.428 71.5528 5.05908 185.057 75.5671 30.18
EC.GYE3..HNN 53.93 17:13:21.128 71.5528 5.05908 185.057 75.5671 30.18
EC.GYE3..HNE 70.7458 17:13:20.638 71.5528 5.05908 185.057 75.5671 30.18
EC.AC07..HNZ 63.0607 17:13:21.527 71.6899 357.536 177.537 161.89 112.96
EC.AC07..HNN 117.392 17:13:23.287 71.6899 357.536 177.537 161.89 112.96
EC.AC07..HNE 118.469 17:13:19.807 71.6899 357.536 177.537 161.89 112.96
EC.GYPL..HNZ 48.2964 17:13:22.101 75.4038 359.236 179.236 84.8935 101.16
EC.GYPL..HNN 80.1516 17:13:23.081 75.4038 359.236 179.236 84.8935 101.16
EC.GYPL..HNE 64.5217 17:13:19.701 75.4038 359.236 179.236 84.8935 101.16
EC.MILO..HHZ 60.417 17:13:11.653 81.2296 33.2359 213.219 105.595 168.58
EC.MILO..HHN 100.514 17:13:23.313 81.2296 33.2359 213.219 105.595 168.58
EC.MILO..HHE 80.7229 17:13:21.903 81.2296 33.2359 213.219 105.595 168.58
EC.AGYE..HNZ 70.195 17:13:22.998 82.3806 0.318789 180.319 99.2624 87.21
EC.AGYE..HNN 85.3982 17:13:21.198 82.3806 0.318789 180.319 99.2624 87.21
EC.AGYE..HNE 86.4812 17:13:22.408 82.3806 0.318789 180.319 99.2624 87.21
EC.AMIL..HNZ 39.3158 17:13:14.730 83.2942 34.78 214.761 63.6774 195.32
EC.AMIL..HNN 61.1353 17:13:24.990 83.2942 34.78 214.761 63.6774 195.32
EC.AMIL..HNE 54.2122 17:13:25.070 83.2942 34.78 214.761 63.6774 195.32
EC.ARNL..HHZ 133.933 17:13:10.633 83.6832 188.481 8.48747 138.541 99.89
EC.ARNL..HHN 118.566 17:13:21.333 83.6832 188.481 8.48747 138.541 99.89
EC.ARNL..HHE 106.306 17:13:22.563 83.6832 188.481 8.48747 138.541 99.89
EC.ARNL..HNZ 131.809 17:13:10.643 83.6832 188.481 8.48747 172.807 83.78
EC.ARNL..HNN 172.05 17:13:21.483 83.6832 188.481 8.48747 172.807 83.78
EC.ARNL..HNE 33.2156 17:13:22.583 83.6832 188.481 8.48747 172.807 83.78
EC.COHC..BLZ 102.456 17:13:21.847 85.9724 64.6403 244.608 291.162 95.41
EC.COHC..BLN 288.276 17:13:21.667 85.9724 64.6403 244.608 291.162 95.41
EC.COHC..BLE 243.416 17:13:23.167 85.9724 64.6403 244.608 291.162 95.41
EC.SUSE..HHZ 58.147 17:13:27.813 104.895 129.818 309.778 151.518 112.65
EC.SUSE..HHN 124.172 17:13:26.883 104.895 129.818 309.778 151.518 112.65
EC.SUSE..HHE 151.217 17:13:25.753 104.895 129.818 309.778 151.518 112.65
EC.ACUE..HNZ 30.8095 17:13:31.453 111.535 96.3158 276.266 67.4122 134.09
EC.ACUE..HNN 48.7455 17:13:27.413 111.535 96.3158 276.266 67.4122 134.09
EC.ACUE..HNE 66.9837 17:13:30.333 111.535 96.3158 276.266 67.4122 134.09
EC.SALI..HHZ 6.12378 17:13:33.445 133.609 300.462 120.508 8.2478 79.44
EC.SALI..HHN 6.51152 17:13:34.865 133.609 300.462 120.508 8.2478 79.44
EC.SALI..HHE 6.94738 17:13:34.215 133.609 300.462 120.508 8.2478 79.44
EC.SALI..HNZ 6.13593 17:13:33.445 133.609 300.462 120.508 8.33975 79.43
EC.SALI..HNN 6.86804 17:13:34.865 133.609 300.462 120.508 8.33975 79.43
EC.SALI..HNE 7.31809 17:13:34.225 133.609 300.462 120.508 8.33975 79.43
EC.LAMO..HHZ 27.0238 17:13:55.120 134.501 182.979 2.98268 34.8101 126.18
EC.LAMO..HHN 23.0119 17:13:38.140 134.501 182.979 2.98268 34.8101 126.18
EC.LAMO..HHE 21.1799 17:13:19.150 134.501 182.979 2.98268 34.8101 126.18
EC.ALAH..HNZ 27.572 17:13:32.470 139.516 61.9815 241.933 50.3796 93.49
EC.ALAH..HNN 42.0232 17:13:33.160 139.516 61.9815 241.933 50.3796 93.49
EC.ALAH..HNE 49.1683 17:13:32.240 139.516 61.9815 241.933 50.3796 93.49
EC.ALAU..HHZ 67.819 17:13:33.560 142.02 60.2248 240.177 111.407 109.12
EC.ALAU..HHN 109.53 17:13:34.550 142.02 60.2248 240.177 111.407 109.12
EC.ALAU..HHE 42.6529 17:13:35.560 142.02 60.2248 240.177 111.407 109.12
EC.ALJ1..HNZ 20.1661 17:13:36.905 156.109 147.409 327.365 50.7253 92.79
EC.ALJ1..HNN 24.0108 17:13:39.315 156.109 147.409 327.365 50.7253 92.79
EC.ALJ1..HNE 47.7725 17:13:36.355 156.109 147.409 327.365 50.7253 92.79
EC.JSCH..HHZ 14.8294 17:13:38.402 161.675 42.3049 222.266 42.7858 109.67
EC.JSCH..HHN 40.2093 17:13:37.552 161.675 42.3049 222.266 42.7858 109.67
EC.JSCH..HHE 39.5109 17:13:43.712 161.675 42.3049 222.266 42.7858 109.67
EC.BOSC..HHZ 23.9081 17:13:51.385 166.996 103.512 283.436 31.8186 112.78
EC.BOSC..HHN 22.3252 17:13:49.445 166.996 103.512 283.436 31.8186 112.78
EC.BOSC..HHE 20.9718 17:13:45.375 166.996 103.512 283.436 31.8186 112.78
EC.AMCR..HNZ 44.5281 17:13:44.261 173.653 179.944 359.944 78.0708 105.69
EC.AMCR..HNN 67.0743 17:13:42.661 173.653 179.944 359.944 78.0708 105.69
EC.AMCR..HNE 65.7843 17:13:46.021 173.653 179.944 359.944 78.0708 105.69
EC.MCRA..BLZ 39.9435 17:13:41.354 173.653 179.944 359.944 85.7199 110.14
EC.MCRA..BLN 73.9048 17:13:43.564 173.653 179.944 359.944 85.7199 110.14
EC.MCRA..BLE 71.191 17:13:42.774 173.653 179.944 359.944 85.7199 110.14
EC.AMCA..HNZ 43.6659 17:13:41.748 174.778 179.527 359.526 74.432 106.63
EC.AMCA..HNN 73.5062 17:13:43.458 174.778 179.527 359.526 74.432 106.63
EC.AMCA..HNE 59.176 17:13:43.178 174.778 179.527 359.526 74.432 106.63
EC.CHSH..HHZ 22.6639 17:13:49.175 188.274 39.9633 219.923 62.5358 112.41
EC.CHSH..HHN 61.0606 17:13:48.345 188.274 39.9633 219.923 62.5358 112.41
EC.CHSH..HHE 44.6645 17:13:44.355 188.274 39.9633 219.923 62.5358 112.41
EC.TAMH..HHZ 14.629 17:13:46.763 189.439 43.1839 223.14 47.1728 113.74
EC.TAMH..HHN 41.4866 17:13:44.993 189.439 43.1839 223.14 47.1728 113.74
EC.TAMH..HHE 33.0949 17:13:45.833 189.439 43.1839 223.14 47.1728 113.74
EC.SAGA..HHZ 11.2395 17:13:25.213 194.678 64.8917 244.825 39.7436 87.75
EC.SAGA..HHN 26.7922 17:13:49.903 194.678 64.8917 244.825 39.7436 87.75
EC.SAGA..HHE 38.0753 17:13:48.493 194.678 64.8917 244.825 39.7436 87.75
EC.PORT..HHZ 6.35036 17:13:47.661 197.83 41.7147 221.671 10.2277 84.06
EC.PORT..HHN 9.87885 17:13:46.461 197.83 41.7147 221.671 10.2277 84.06
EC.PORT..HHE 7.68812 17:13:50.231 197.83 41.7147 221.671 10.2277 84.06
EC.APO2..HNZ 8.31074 17:13:50.807 199.875 343.825 163.842 18.5234 128.83
EC.APO2..HNN 12.2299 17:13:49.347 199.875 343.825 163.842 18.5234 128.83
EC.APO2..HNE 15.6261 17:13:56.217 199.875 343.825 163.842 18.5234 128.83
EC.CAB1..HHZ 3.16147 17:13:35.918 271.933 348.838 168.851 6.58974 64.68
EC.CAB1..HHN 4.82403 17:14:12.208 271.933 348.838 168.851 6.58974 64.68
EC.CAB1..HHE 5.90351 17:14:09.228 271.933 348.838 168.851 6.58974 64.68
EC.CAB1..HNZ 6.73467 17:14:09.958 271.933 348.838 168.851 14.1445 114.65
EC.CAB1..HNN 13.8173 17:14:12.158 271.933 348.838 168.851 14.1445 114.65
EC.CAB1..HNE 7.76388 17:14:09.288 271.933 348.838 168.851 14.1445 114.65
