NET.STATION.LOCID.CMPNM MaxVel TimeOfMaxVel DIST AZ BAZ PeakVecVel EstimatedDuration.
EC.ISPG..HHZ 2.16085 17:13:31.930 30.2429 231.737 51.7482 3.52937 357.66
EC.ISPG..HHN 3.07581 17:13:17.940 30.2429 231.737 51.7482 3.52937 357.66
EC.ISPG..HHE 3.14108 17:13:23.610 30.2429 231.737 51.7482 3.52937 357.66
EC.ISPG..HNZ 16.4877 17:13:17.949 30.2429 231.737 51.7482 54.9614 446.35
EC.ISPG..HNN 50.2217 17:13:17.929 30.2429 231.737 51.7482 54.9614 446.35
EC.ISPG..HNE 24.5572 17:13:20.179 30.2429 231.737 51.7482 54.9614 446.35
EC.APLA..HNZ 1.70878 17:13:08.274 51.7841 290.361 110.381 6.72588 157.06
EC.APLA..HNN 6.64018 17:13:19.154 51.7841 290.361 110.381 6.72588 157.06
EC.APLA..HNE 3.92807 17:13:18.014 51.7841 290.361 110.381 6.72588 157.06
EC.ACH2..HNZ 4.05616 17:13:16.710 53.8449 162.482 342.474 10.7476 102.57
EC.ACH2..HNN 10.3635 17:13:16.000 53.8449 162.482 342.474 10.7476 102.57
EC.ACH2..HNE 7.3746 17:13:15.630 53.8449 162.482 342.474 10.7476 102.57
EC.ACH1..HNZ 4.6167 17:13:15.733 54.2161 174.629 354.626 61.5924 276.72
EC.ACH1..HNN 61.2519 17:13:16.963 54.2161 174.629 354.626 61.5924 276.72
EC.ACH1..HNE 40.1423 17:13:16.603 54.2161 174.629 354.626 61.5924 276.72
EC.GYKA..HNZ 3.80723 17:13:21.506 60.3316 8.50933 188.506 21.5073 304.13
EC.GYKA..HNN 20.2756 17:13:27.216 60.3316 8.50933 188.506 21.5073 304.13
EC.GYKA..HNE 19.3903 17:13:24.436 60.3316 8.50933 188.506 21.5073 304.13
EC.GYE1..HNZ 2.20852 17:13:18.349 60.8623 4.8248 184.823 10.3652 194.11
EC.GYE1..HNN 10.1491 17:13:21.829 60.8623 4.8248 184.823 10.3652 194.11
EC.GYE1..HNE 7.29985 17:13:20.089 60.8623 4.8248 184.823 10.3652 194.11
EC.GYC2..HNZ 7.04917 17:13:19.557 63.8692 3.97011 183.968 22.0713 369.08
EC.GYC2..HNN 20.9438 17:13:19.507 63.8692 3.97011 183.968 22.0713 369.08
EC.GYC2..HNE 19.4876 17:13:29.757 63.8692 3.97011 183.968 22.0713 369.08
EC.PCRA..HHZ 2.35052 17:13:19.474 67.8352 132.341 312.317 5.19165 108.75
EC.PCRA..HHN 4.83061 17:13:20.024 67.8352 132.341 312.317 5.19165 108.75
EC.PCRA..HHE 3.44314 17:13:19.174 67.8352 132.341 312.317 5.19165 108.75
EC.GYE3..HNZ 1.65811 17:13:20.068 71.5528 5.05908 185.057 3.99478 43.66
EC.GYE3..HNN 2.91683 17:13:16.798 71.5528 5.05908 185.057 3.99478 43.66
EC.GYE3..HNE 3.87059 17:13:20.568 71.5528 5.05908 185.057 3.99478 43.66
EC.AC07..HNZ 1.90904 17:13:21.577 71.6899 357.536 177.537 10.6127 175.3
EC.AC07..HNN 9.24153 17:13:18.997 71.6899 357.536 177.537 10.6127 175.3
EC.AC07..HNE 7.86061 17:13:24.297 71.6899 357.536 177.537 10.6127 175.3
EC.GYPL..HNZ 2.34072 17:13:22.071 75.4038 359.236 179.236 3.82848 171.9
